OrgUnitName,OrgUnitCode,Period,BCGCoverage,DropoutRatePenta13,DropoutPenta1,FIC,MeaslesCoverage
Bombali,OU_193190,March 2019,104.0,27.6,24,75.00,86.0
Bombali,OU_193190,April 2019,100,28.5,30,74.01,79.0
Bombali,OU_193190,May 2019,110.00,31.3,29,76.04,79.0
Bombali,OU_193190,June 2019,104.0,26.8,25,76.0,80.0
Bombali,OU_193190,July 2019,91.0,25.9,30,75.00,77.0
Bombali,OU_193190,August 2019,102.000,23.2,25,76.4,81.0
Bombali,OU_193190,September 2019,100.0,18.1,19,83.00,89.0
Bombali,OU_193190,October 2019,84.00,23.7,20,69.0,75.0
Bombali,OU_193190,December 2019,78.0,24.9,21,119.0,68.0
Bombali,OU_193190,January 2020,104.0,29.9,21,75.2,82.0
Bombali,OU_193190,February 2020,95.00,22.4,22,77.5,84.0
Bonthe,OU_197385,March 2019,94,27.2,24,69.02,71.0
Bonthe,OU_197385,April 2019,99.0,26.6,34,68.0,64.0
Bonthe,OU_197385,May 2019,102.000,30.3,13,70.8,76.0
Bonthe,OU_197385,June 2019,142.0,32.9,41,72.6,81.0
Bonthe,OU_197385,July 2019,115.0,21.4,24,88.0,91.0
Bonthe,OU_197385,August 2019,140,15.2,22,98.00,100.0
Bonthe,OU_197385,September 2019,112.0,17,22,112.07,101.0
Bonthe,OU_197385,November 2019,119.0,15.6,21,96.0,100.0
Bonthe,OU_197385,January 2020,117.0,36.9,48,58.4,51.0
Bonthe,OU_197385,February 2020,90.0,29.2,33,69,70.00
Kailahun,OU_204856,March 2019,96.0,10.6,7,80.2,86.0
Kailahun,OU_204856,April 2019,91,9.7,2,81.3,93.0
Kailahun,OU_204856,May 2019,90.00,12.5,8,82.2,88.0
Kailahun,OU_204856,June 2019,104.0,15.3,26,78.5,81.00
Kailahun,OU_204856,July 2019,90.00,8.6,19,66,74.0
Kailahun,OU_204856,August 2019,95.0,11,17,80.0,86.0
Kailahun,OU_204856,September 2019,85.00,2,6,83.2,83.0
Kailahun,OU_204856,October 2019,70.000,6.4,19,60.1,60.0
Kailahun,OU_204856,November 2019,78.0,3.7,13,78.8,81.0
Kailahun,OU_204856,December 2019,46.0,13.5,12,52.0,55.0
Kailahun,OU_204856,January 2020,89.00,15.6,17,72.5,76.0
Kailahun,OU_204856,February 2020,92.00,9.9,11,82.00,87.0
Kambia,OU_211212,March 2019,107.0,36.1,25,61,81.0
Kambia,OU_211212,April 2019,112.0,31,25,61,79.0
Kambia,OU_211212,May 2019,106,32.9,30,53.5,70.0
Kambia,OU_211212,June 2019,121.0,32.9,26,64.6,84.0
Kambia,OU_211212,July 2019,91.00,32.2,27,57.5,76.0
Kambia,OU_211212,August 2019,100.0,33.7,25,59.0,78.000
Kambia,OU_211212,September 2019,111.00,25.6,20,73.4,89.0
Kambia,OU_211212,October 2019,97.00,30.6,9,63.9,88.0
Kambia,OU_211212,November 2019,116.0,26,21,72.2,91.0
Kambia,OU_211212,December 2019,89,40.6,30,51.5,65
Kambia,OU_211212,January 2020,106.0,44,23,59.5,81.00
Kambia,OU_211212,February 2020,118,40,19,67.2,87.0
Kenema,OU_222616,March 2019,114.00,15.4,2,89.0,94.0
Kenema,OU_222616,April 2019,108.0,17.7,5,93,92.0
Kenema,OU_222616,May 2019,127.0,14.1,3,97.8,102.0
Kenema,OU_222616,June 2019,125.0,20.5,9,90.0,95.0
Kenema,OU_222616,July 2019,117.0,18.3,18,75.6,80.0
Kenema,OU_222616,August 2019,100.00,11.3,13,79.6,88.0
Kenema,OU_222616,September 2019,110.0,4.8,2,92.0,99.0
Kenema,OU_222616,October 2019,99.0,2.3,4,71.9,78.0
Kenema,OU_222616,November 2019,100.0,-5.6,2,88.2,91.0
Kenema,OU_222616,December 2019,87.00,8.3,11,63.0,67.000
Kenema,OU_222616,January 2020,95.00,25.5,12,76.2,76.0
Kenema,OU_222616,February 2020,108.00,23.6,8,82.7,82.00
Koinadugu,OU_226213,March 2019,86.0,12.6,8,72.0,69.0
Koinadugu,OU_226213,April 2019,71.00,16.9,13,66.1,74.0
Koinadugu,OU_226213,May 2019,125.0,26.3,11,85.0,92.0
Koinadugu,OU_226213,June 2019,76,26.2,13,49.7,63.0
Koinadugu,OU_226213,July 2019,62.0,23.6,16,57.00,63.0
Koinadugu,OU_226213,August 2019,89.0,14.1,13,76.5,82.0
Koinadugu,OU_226213,September 2019,108.00,18.3,13,92.5,102.0
Koinadugu,OU_226213,November 2019,118.0,15.3,23,86.7,94.000
Koinadugu,OU_226213,January 2020,69.0,29.3,31,54.5,53.0
Koinadugu,OU_226213,February 2020,73.0,25,15,71.00,76.0
Kono,OU_233310,March 2019,70.0,23,0,33.7,49.0
Kono,OU_233310,April 2019,87.0,33.1,11,68.1,69.0
Kono,OU_233310,May 2019,71.00,15.5,12,35.7,51.0
